Metric,L,Distance
pathdistw,0.07,0.4065790495
pathdistw,0.13,0.4879268649
pathdistw,0.25,0.3801058871
pathdistw,0.5,0.456086064
pathdistw,0.75,0.4372255799
pathdistw,0.9,0.425067448
pathdistw,1,0.4320056937
RF,0.000001,0.0319250023
RF,0.00001,0.0344836453
RF,0.0001,0.0403430999
RF,0.001,0.0770117686
RF,0.01,0.1806698797
RF,0.025,0.3181678061
RF,0.04,0.3423712293
RF,0.07,0.3771616517
RF,0.13,0.3964531287
RF,0.25,0.5640083743
RF,0.5,0.6538019668
RF,0.75,0.640544572
RF,0.9,0.8042162407
RF,1,0.8084520835
Sim,0.000001,0.104270727
Sim,0.00001,0.1297817905
Sim,0.0001,0.1177310649
Sim,0.001,0.2093028895
Sim,0.01,0.4179355723
Sim,0.025,0.5969579101
Sim,0.04,0.7198406648
Sim,0.07,0.5625709448
Sim,0.13,0.7057770263
Sim,0.25,0.9095431261
Sim,0.5,0.6990830428
Sim,0.75,0.6095814957
Sim,0.9,0.627119197
Sim,1,0.6961021735
Trip,0.000001,0.0825243065
Trip,0.00001,0.083126717
Trip,0.0001,0.0887568083
Trip,0.001,0.1424268199
Trip,0.01,0.6837895398
Trip,0.025,0.9384944071
Trip,0.04,0.828224025
Trip,0.07,0.7354141475
Trip,0.13,0.7867957666
Trip,0.25,1.0639559537
Trip,0.5,1.2342563976
Trip,0.75,0.7731849096
Trip,0.9,1.5199252261
Trip,1,0.9652509725
TripL,0.000001,0.6288640366
TripL,0.00001,0.5778181353
TripL,0.0001,0.5743094579
TripL,0.001,0.3805882638
TripL,0.01,0.7824732032
TripL,0.025,1.1273864616
TripL,0.04,0.7950431872
TripL,0.07,0.6659246957
TripL,0.13,0.2909881916
TripL,0.25,0.3446398047
TripL,0.5,0.3371318205
TripL,0.75,0.2495300947
TripL,0.9,0.3259835743
TripL,1,0.2532536912
