Metric,L,Distance
pathdistw,0.00001,0.1054880898
pathdistw,0.0001,0.0114887194
pathdistw,0.001,0.0010804187
pathdistw,0.01,0.000102581
pathdistw,0.025,0.000042922
pathdistw,0.04,2.45648631842781E-05
pathdistw,0.07,1.3628880662706E-05
pathdistw,0.13,6.96191776470071E-06
pathdistw,0.25,3.21846060180616E-06
pathdistw,0.5,9.63441945111143E-07
pathdistw,0.75,3.6645284099271E-07
pathdistw,0.9,0.000000038
pathdistw,1,0
BHV,0.000001,1
BHV,0.00001,0.1058658296
BHV,0.0001,0.0116505945
BHV,0.001,0.0012041893
BHV,0.01,0.0001345965
BHV,0.025,0.000032366
BHV,0.04,1.53434797255041E-05
BHV,0.07,6.09516836234105E-06
BHV,0.13,1.86652602947207E-06
BHV,0.25,0.000000535
BHV,0.5,1.02380396034466E-07
BHV,0.75,2.27328140882967E-08
BHV,0.9,2.42509881654949E-09
BHV,1,0
KC,0.000001,0.9916019052
KC,0.00001,1
KC,0.0001,0.9899770057
KC,0.001,0.8919723533
KC,0.01,0.4282779512
KC,0.025,0.2605350276
KC,0.04,0.1898577097
KC,0.07,0.1426601267
KC,0.13,0.0985430953
KC,0.25,0.0547397662
KC,0.5,0.0197427551
KC,0.75,0.0128206969
KC,0.9,0
KC,1,0.0004829063
KCw,0.000001,1
KCw,0.00001,0.1073499858
KCw,0.0001,0.0119141305
KCw,0.001,0.0009853807
KCw,0.01,8.51769020341419E-05
KCw,0.025,3.85173381063304E-05
KCw,0.04,2.08685564671654E-05
KCw,0.07,1.21198092640521E-05
KCw,0.13,6.48248568814843E-06
KCw,0.25,0.000003041
KCw,0.5,8.89665714417332E-07
KCw,0.75,3.69057579942214E-07
KCw,0.9,1.17237510872114E-08
KCw,1,0
