Metric,M,Distance
pathdistw,0.01,0.1038610625
pathdistw,0.25,0.0354390564
pathdistw,0.5,0.0312916512
pathdistw,0.75,0.0277695785
pathdistw,1,0.0290053908
RF,0,
RF,0.00001,7.316785738
RF,0.0001,2.7539440893
RF,0.00055,0.9888094109
RF,0.001,0.6850455779
RF,0.002125,0.4403465775
RF,0.00325,0.3491586163
RF,0.004375,0.2296812481
RF,0.0055,0.2118709507
RF,0.01,0.0986136977
RF,0.25,0.0278694655
RF,0.5,0.0297722301
RF,0.75,0.0344454101
RF,1,0.0328907332
Sim,0,0
Sim,0.00001,6.5991828497
Sim,0.0001,2.7327720133
Sim,0.00055,0.8441753626
Sim,0.001,0.6517581003
Sim,0.002125,0.3930433015
Sim,0.00325,0.3188442914
Sim,0.004375,0.285281332
Sim,0.0055,0.235811987
Sim,0.01,0.1955189958
Sim,0.25,0.0965221676
Sim,0.5,0.1046578892
Sim,0.75,0.1019975113
Sim,1,0.1024293034
Trip,0,
Trip,0.00001,7.4621063744
Trip,0.0001,3.0559111013
Trip,0.00055,0.9741702544
Trip,0.001,0.7238607941
Trip,0.002125,0.448204088
Trip,0.00325,0.3395213964
Trip,0.004375,0.3104904891
Trip,0.0055,0.2415806343
Trip,0.01,0.1503192145
Trip,0.25,0.0921173909
Trip,0.5,0.0810404502
Trip,0.75,0.0821264902
Trip,1,0.0687413415
TripL,0,0
TripL,0.00001,7.316052139
TripL,0.0001,3.1791829085
TripL,0.00055,0.9880440513
TripL,0.001,0.7464067281
TripL,0.002125,0.4487666078
TripL,0.00325,0.336900071
TripL,0.004375,0.3344323962
TripL,0.0055,0.2595799314
TripL,0.01,0.1793790815
TripL,0.25,0.0938575899
TripL,0.5,0.0801591133
TripL,0.75,0.0797874898
TripL,1,0.0745167784
