FlavV,5,b,V,1,0.8946877655,0.7949982201,0.9584449905,0.7788125282,0.7321727571,0.748376419,0.8642735572,0.9130314012,0.8169556118,0.9345097429,0.6369190219,0.8621493415,0.7009243737,0.7691579605,0.7951803483,0.6678107936,0.9160486449,0.4054276371,0.6509377956,0.6996259552,0.6580105294,0.8053186715,0.9101321379,0.7330129511,0.6968100286,0.9063859292,0.7413878156,0.839676041,0.7886937303,0.9290832655,0.9495171271,0.7876129468,0.7967272086,0.7961821416,0.9093076142,0.6996259552,0.8050646174
PotyV,14,b,V,0.8946877655,1,0.7947664079,0.8958853238,0.8350190292,0.7785511548,0.7831449529,0.8671700805,0.9042348377,0.787705008,0.9032877857,0.7101265726,0.8864050215,0.7523725814,0.874060858,0.788374496,0.786741856,0.9072399655,0.5340947521,0.7685874927,0.8156282418,0.7717152139,0.8638235368,0.8168534693,0.8018887484,0.8029215315,0.7457358144,0.8437157549,0.7539120368,0.810467616,0.8632803839,0.9043517672,0.8557196841,0.8594567563,0.8670033955,0.8240876738,0.8156282418,0.8655248214
OrthH,8,b,H,0.7949982201,0.7947664079,1,0.8370116978,0.7998359933,0.7953978474,0.7766132549,0.7473708599,0.8186439509,0.856709077,0.7333137171,0.6491053658,0.8291557631,0.7811088595,0.7751441986,0.7546051759,0.7045405843,0.8073944799,0.3813038962,0.5700063704,0.687765044,0.720483941,0.8237812097,0.700910105,0.8097824657,0.7241951133,0.6888098609,0.7314299163,0.8382227223,0.6941637498,0.6831717518,0.8004647438,0.8082306113,0.7300884986,0.8516749383,0.8161938229,0.687765044,0.8570216709
CoroV,4,b,V,0.9584449905,0.8958853238,0.8370116978,1,0.7971537917,0.7657606459,0.7638648044,0.8635755143,0.9243650536,0.8393523831,0.9216290631,0.6329642119,0.8760893101,0.7247537726,0.7780368249,0.8087878086,0.675825892,0.9208458916,0.3850894851,0.646424312,0.7137674543,0.6755449199,0.82628024,0.8722099662,0.7611426909,0.7065397611,0.8749413572,0.7559546046,0.8610127821,0.7829681433,0.9000759713,0.9535654824,0.815517253,0.8014747765,0.8244219214,0.9091932019,0.7137674543,0.8352515737
RetrH,17,b,H,0.7788125282,0.8350190292,0.7998359933,0.7971537917,1,0.8568420941,0.8712263101,0.8424899792,0.8385069287,0.8566774424,0.8207343851,0.8333705059,0.8855511069,0.8792427489,0.8842447172,0.8753025747,0.8743645653,0.8706909858,0.6474019014,0.8037655653,0.8790255596,0.8677203361,0.9144724658,0.6291735088,0.91023401,0.8815582643,0.6006440664,0.8716428555,0.760083237,0.8653736672,0.7507221146,0.8317017053,0.8686864416,0.8580716566,0.8949709827,0.81450965,0.8790255596,0.9089526857
HepaH,6,a,H,0.7321727571,0.7785511548,0.7953978474,0.7657606459,0.8568420941,1,0.8434896375,0.8094624905,0.8142726189,0.8379894704,0.7692840133,0.749729414,0.8436854826,0.8116610173,0.8457258513,0.8134860712,0.8150023527,0.8295208702,0.5691971529,0.7447967697,0.8425970176,0.8343252856,0.8796109428,0.5832145377,0.8575881505,0.8307787175,0.5877458515,0.842938857,0.7745825626,0.815452479,0.6941480647,0.7875440583,0.8526611828,0.8437293466,0.858375309,0.8086729657,0.8425970176,0.8427002732
AdenV,1,a,V,0.748376419,0.7831449529,0.7766132549,0.7638648044,0.8712263101,0.8434896375,1,0.8256780906,0.7989924844,0.9014321476,0.7947486875,0.8922816275,0.878604493,0.8820795992,0.8421246395,0.8882252798,0.8510546781,0.872031995,0.7032659954,0.7206864259,0.836618323,0.8448256657,0.8918521804,0.5911285798,0.8841585283,0.8614184729,0.5904855428,0.7928916805,0.750545253,0.9005396435,0.7176772251,0.7955844831,0.8231357624,0.807716997,0.8600907007,0.8531240456,0.836618323,0.8542910775
CaliV,3,b,V,0.8642735572,0.8671700805,0.7473708599,0.8635755143,0.8424899792,0.8094624905,0.8256780906,1,0.8853322313,0.8009493654,0.9075707073,0.7539915513,0.8978247528,0.7673956254,0.8568314823,0.8381507587,0.8036571141,0.9199495261,0.5963568664,0.8121359138,0.845107923,0.7918031365,0.8734640369,0.7250741446,0.8169601483,0.8398270701,0.7231639594,0.8411680453,0.7393536077,0.884090153,0.880469529,0.8888609436,0.8518758678,0.8955344238,0.8552991099,0.8560036363,0.845107923,0.8389271202
BunyV,2,b,V,0.9130314012,0.9042348377,0.8186439509,0.9243650536,0.8385069287,0.8142726189,0.7989924844,0.8853322313,1,0.8389683559,0.9105773283,0.6929833394,0.9048820898,0.776070292,0.8438184756,0.8372971757,0.7560430161,0.9194652486,0.4737785704,0.7425121935,0.8080235696,0.7594587404,0.8774082869,0.7918998767,0.8154666866,0.7849181782,0.7778159746,0.8454278513,0.8075161215,0.82291081,0.8736416912,0.9359063624,0.8798301537,0.8754275269,0.8742017939,0.8722396133,0.8080235696,0.8748945669
RetrV,17,b,V,0.8169556118,0.787705008,0.856709077,0.8393523831,0.8566774424,0.8379894704,0.9014321476,0.8009493654,0.8389683559,1,0.7959100271,0.8181021361,0.8837276194,0.8802151313,0.7852302525,0.8839974774,0.7697330146,0.8779151133,0.5404113558,0.6183904329,0.7605940166,0.7761382481,0.869563452,0.6720997654,0.8619081705,0.7762969115,0.6984876276,0.7549458752,0.8549654375,0.8374434967,0.7300356334,0.8490729449,0.8213862123,0.7730072628,0.8470561037,0.9126489211,0.7605940166,0.8653110676
