Metric,M,Distance
pathdist,1,0.9942069313
pathdistw,0,0
pathdistw,0.00001,0.0049197234
pathdistw,0.0001,0.036527025
pathdistw,0.00055,0.214415995
pathdistw,0.001,0.2874053252
pathdistw,0.002125,0.4179900878
pathdistw,0.00325,0.4812167473
pathdistw,0.004375,0.537394076
pathdistw,0.0055,0.5678932911
pathdistw,0.01,0.6598578896
pathdistw,0.25,0.9594589501
pathdistw,0.5,0.9863686751
pathdistw,0.75,0.9940316965
pathdistw,1,1
BHV,0,0
BHV,0.00001,0.0176552898
BHV,0.0001,0.0850530223
BHV,0.00055,0.4479437459
BHV,0.001,0.6162769804
BHV,0.002125,0.8414919102
BHV,0.00325,0.9352667146
BHV,0.004375,0.9550732631
BHV,0.0055,1
BHV,0.01,0.9415175134
BHV,0.25,0.7545534656
BHV,0.5,0.7405867152
BHV,0.75,0.7341291286
BHV,1,0.7321610246
KC,0,0
KC,0.00001,0.0069341589
KC,0.0001,0.0552041802
KC,0.00055,0.3242610428
KC,0.001,0.4640515048
KC,0.002125,0.6285300194
KC,0.00325,0.7060800236
KC,0.004375,0.7658236929
KC,0.0055,0.7910487625
KC,0.01,0.9024767036
KC,0.25,0.9922308823
KC,0.5,0.9952690423
KC,0.75,0.9919255075
KC,1,1
KCw,0,0
KCw,0.00001,0.0080309175
KCw,0.0001,0.0594210799
KCw,0.00055,0.3336269678
KCw,0.001,0.4524374003
KCw,0.002125,0.6390247371
KCw,0.00325,0.7177238255
KCw,0.004375,0.7812931484
KCw,0.0055,0.8231864018
KCw,0.01,0.8864313558
KCw,0.25,0.9755979871
KCw,0.5,0.9835226661
KCw,0.75,1
KCw,1,0.9992499883
