Metric,P,Distance
KC,0.75,0.7485132365
KC,0.9,0.5415393716
KC,0.99,0.0917020481
KC,1,0
KCw,0.000001,0.9650532843
KCw,0.00001,1
KCw,0.0001,0.8915384075
KCw,0.001,0.8760154255
KCw,0.01,0.9600633283
KCw,0.1,0.9149305058
KCw,0.25,0.8598768844
KCw,0.5,0.8926942058
KCw,0.75,0.8186521523
KCw,0.9,0.6178417181
KCw,0.99,0.0870287646
KCw,1,0
